Peça,stepdown,tool diameter,input angle,input height
I,0.3,12,40,25.2
II,0.3,12,70,82.4
III,0.7,12,40,25.2
IV,0.7,12,70,82.4
V,0.3,12,40,25.2
VI,0.3,12,70,82.4
VII,0.7,12,40,25.2
VIII,0.7,12,70,82.4
IX,0.3,16,40,25.2
X,0.3,16,70,82.4
XI,0.7,16,40,25.2
XII,0.7,16,70,82.4
XIII,0.3,16,40,25.2
XIV,0.3,16,70,82.4
XV,0.7,16,40,25.2
XVI,0.7,16,70,82.4
XIX,0.7,12,50,35.8
XX,0.7,12,50,35.8
XXI,0.7,12,60,52.0
XXII,0.7,12,60,52.0
XXIII,0.3,12,60,52.0
XXIV,0.3,12,60,52.0
XXV,0.3,16,50,35.8
XXVI,0.3,16,50,35.8
XXVII,0.7,16,50,35.8
XXVIII,0.7,16,50,35.8
XXIX,0.3,16,60,52.0
XXX,0.3,16,60,52.0
XXXI,0.7,16,60,52.0
XXXII,0.7,16,60,52.0
XXXIII,0.3,12,50,35.8
XXXIV,0.3,12,50,35.8
LMA,0.7,12,40.66979713,25.64634515
LMD,0.7,12, 40.78450517,25.82751219
LR,0.7,12, 40.81771423,25.73536048
NN(8),0.7,12, 40.8152,25.7367
NN(16),0.7,12,40.8162,25.7270


