fold,hidden_layer_sizes,activation,solver,max_iter,best_cv_r2
0,"(16,)",relu,lbfgs,500,-0.06646783709724328
0,"(32,)",relu,lbfgs,500,-0.06937200283405635
0,"(8,)",relu,lbfgs,500,-0.07162810373214121
0,"(64, 32)",relu,adam,500,-0.0790275270268
0,"(32, 16)",relu,lbfgs,500,-0.08185697068607256
0,"(64,)",relu,lbfgs,500,-0.08498130512645374
0,"(64, 32, 16)",relu,lbfgs,500,-0.08686563595883752
0,"(32,)",relu,adam,500,-0.09801498684288455
0,"(64,)",relu,adam,500,-0.11029844469667044
0,"(32, 16)",relu,adam,500,-0.11376730772810802
0,"(64, 32)",relu,lbfgs,500,-0.18349496871237744
0,"(8,)",relu,adam,500,-0.19737293402783304
0,"(64, 32, 16)",relu,adam,500,-0.38251564218696865
0,"(16,)",relu,adam,500,-0.6441533993880467
0,"(16,)",relu,lbfgs,500,-0.06646783709724328
0,"(32,)",relu,lbfgs,500,-0.06937200283405635
0,"(8,)",relu,lbfgs,500,-0.07162810373214121
0,"(64, 32)",relu,adam,500,-0.0790275270268
0,"(32, 16)",relu,lbfgs,500,-0.08185697068607256
0,"(64,)",relu,lbfgs,500,-0.08498130512645374
0,"(64, 32, 16)",relu,lbfgs,500,-0.08686563595883752
0,"(32,)",relu,adam,500,-0.09801498684288455
0,"(64,)",relu,adam,500,-0.11029844469667044
0,"(32, 16)",relu,adam,500,-0.11376730772810802
0,"(64, 32)",relu,lbfgs,500,-0.18349496871237744
0,"(8,)",relu,adam,500,-0.19737293402783304
0,"(64, 32, 16)",relu,adam,500,-0.38251564218696865
0,"(16,)",relu,adam,500,-0.6441533993880467
1,"(8,)",relu,lbfgs,500,-0.0658549180309713
1,"(16,)",relu,lbfgs,500,-0.06674321082849231
1,"(64,)",relu,lbfgs,500,-0.06784470463326554
1,"(32, 16)",relu,lbfgs,500,-0.0690193368846375
1,"(8,)",relu,adam,500,-0.08261755464503044
1,"(64, 32)",relu,lbfgs,500,-0.0906865518602889
1,"(32,)",relu,adam,500,-0.10488018165648043
1,"(32, 16)",relu,adam,500,-0.10539451085026753
1,"(64, 32, 16)",relu,lbfgs,500,-0.10754524388989606
1,"(64, 32)",relu,adam,500,-0.10794444051262371
1,"(64,)",relu,adam,500,-0.11521367856133828
1,"(32,)",relu,lbfgs,500,-0.13821576154457835
1,"(64, 32, 16)",relu,adam,500,-0.33410965231250617
1,"(16,)",relu,adam,500,-0.8783036957488539
1,"(8,)",relu,lbfgs,500,-0.0658549180309713
1,"(16,)",relu,lbfgs,500,-0.06674321082849231
1,"(64,)",relu,lbfgs,500,-0.06784470463326554
1,"(32, 16)",relu,lbfgs,500,-0.0690193368846375
1,"(8,)",relu,adam,500,-0.08261755464503044
1,"(64, 32)",relu,lbfgs,500,-0.0906865518602889
1,"(32,)",relu,adam,500,-0.10488018165648043
1,"(32, 16)",relu,adam,500,-0.10539451085026753
1,"(64, 32, 16)",relu,lbfgs,500,-0.10754524388989606
1,"(64, 32)",relu,adam,500,-0.10794444051262371
1,"(64,)",relu,adam,500,-0.11521367856133828
1,"(32,)",relu,lbfgs,500,-0.13821576154457835
1,"(64, 32, 16)",relu,adam,500,-0.33410965231250617
1,"(16,)",relu,adam,500,-0.8783036957488539
2,"(64,)",relu,lbfgs,500,-0.06700441548529278
2,"(16,)",relu,lbfgs,500,-0.0679644890345466
2,"(8,)",relu,lbfgs,500,-0.06830960111347557
2,"(32,)",relu,lbfgs,500,-0.0710513923892488
2,"(32, 16)",relu,lbfgs,500,-0.07769501708220743
2,"(64, 32)",relu,adam,500,-0.07953810040802974
2,"(32,)",relu,adam,500,-0.09709397971018054
2,"(64, 32, 16)",relu,lbfgs,500,-0.1062551085704439
2,"(32, 16)",relu,adam,500,-0.10734701423175709
2,"(8,)",relu,adam,500,-0.12139402071247678
2,"(64, 32)",relu,lbfgs,500,-0.14402906037990557
2,"(64,)",relu,adam,500,-0.14743532206765084
2,"(64, 32, 16)",relu,adam,500,-0.42290998738983004
2,"(16,)",relu,adam,500,-0.8811035186411093
2,"(64,)",relu,lbfgs,500,-0.06700441548529278
2,"(16,)",relu,lbfgs,500,-0.0679644890345466
2,"(8,)",relu,lbfgs,500,-0.06830960111347557
2,"(32,)",relu,lbfgs,500,-0.0710513923892488
2,"(32, 16)",relu,lbfgs,500,-0.07769501708220743
2,"(64, 32)",relu,adam,500,-0.07953810040802974
2,"(32,)",relu,adam,500,-0.09709397971018054
2,"(64, 32, 16)",relu,lbfgs,500,-0.1062551085704439
2,"(32, 16)",relu,adam,500,-0.10734701423175709
2,"(8,)",relu,adam,500,-0.12139402071247678
2,"(64, 32)",relu,lbfgs,500,-0.14402906037990557
2,"(64,)",relu,adam,500,-0.14743532206765084
2,"(64, 32, 16)",relu,adam,500,-0.42290998738983004
2,"(16,)",relu,adam,500,-0.8811035186411093
3,"(8,)",relu,lbfgs,500,-0.06760171721197768
3,"(16,)",relu,lbfgs,500,-0.06847479748936883
3,"(64,)",relu,lbfgs,500,-0.070910140209475
3,"(32, 16)",relu,lbfgs,500,-0.0786012094137038
3,"(32,)",relu,lbfgs,500,-0.07948901363361403
3,"(64, 32, 16)",relu,lbfgs,500,-0.08479788535248274
3,"(64, 32)",relu,adam,500,-0.0912350527910224
3,"(32,)",relu,adam,500,-0.10794263917003173
3,"(64,)",relu,adam,500,-0.10984199161645893
3,"(32, 16)",relu,adam,500,-0.11853307722287935
3,"(8,)",relu,adam,500,-0.19830618343895298
3,"(64, 32)",relu,lbfgs,500,-0.22021447830941218
3,"(64, 32, 16)",relu,adam,500,-0.26974974078164293
3,"(16,)",relu,adam,500,-0.6853011403207526
3,"(8,)",relu,lbfgs,500,-0.06760171721197768
3,"(16,)",relu,lbfgs,500,-0.06847479748936883
3,"(64,)",relu,lbfgs,500,-0.070910140209475
3,"(32, 16)",relu,lbfgs,500,-0.0786012094137038
3,"(32,)",relu,lbfgs,500,-0.07948901363361403
3,"(64, 32, 16)",relu,lbfgs,500,-0.08479788535248274
3,"(64, 32)",relu,adam,500,-0.0912350527910224
3,"(32,)",relu,adam,500,-0.10794263917003173
3,"(64,)",relu,adam,500,-0.10984199161645893
3,"(32, 16)",relu,adam,500,-0.11853307722287935
3,"(8,)",relu,adam,500,-0.19830618343895298
3,"(64, 32)",relu,lbfgs,500,-0.22021447830941218
3,"(64, 32, 16)",relu,adam,500,-0.26974974078164293
3,"(16,)",relu,adam,500,-0.6853011403207526
4,"(16,)",relu,lbfgs,500,-0.06626223054804582
4,"(8,)",relu,lbfgs,500,-0.06728421533362919
4,"(32,)",relu,lbfgs,500,-0.06848968377624
4,"(64,)",relu,lbfgs,500,-0.07297926990539717
4,"(64, 32)",relu,adam,500,-0.07385111478271693
4,"(32, 16)",relu,lbfgs,500,-0.08033886762945154
4,"(64, 32, 16)",relu,lbfgs,500,-0.0901795566671267
4,"(64, 32)",relu,lbfgs,500,-0.10525793193474386
4,"(32,)",relu,adam,500,-0.10794920805848136
4,"(64,)",relu,adam,500,-0.12059944224421366
4,"(32, 16)",relu,adam,500,-0.1238121480980725
4,"(8,)",relu,adam,500,-0.207253451449003
4,"(64, 32, 16)",relu,adam,500,-0.25912501361719154
4,"(16,)",relu,adam,500,-0.6735500355254248
4,"(16,)",relu,lbfgs,500,-0.06626223054804582
4,"(8,)",relu,lbfgs,500,-0.06728421533362919
4,"(32,)",relu,lbfgs,500,-0.06848968377624
4,"(64,)",relu,lbfgs,500,-0.07297926990539717
4,"(64, 32)",relu,adam,500,-0.07385111478271693
4,"(32, 16)",relu,lbfgs,500,-0.08033886762945154
4,"(64, 32, 16)",relu,lbfgs,500,-0.0901795566671267
4,"(64, 32)",relu,lbfgs,500,-0.10525793193474386
4,"(32,)",relu,adam,500,-0.10794920805848136
4,"(64,)",relu,adam,500,-0.12059944224421366
4,"(32, 16)",relu,adam,500,-0.1238121480980725
4,"(8,)",relu,adam,500,-0.207253451449003
4,"(64, 32, 16)",relu,adam,500,-0.25912501361719154
4,"(16,)",relu,adam,500,-0.6735500355254248
