Fold,Model,Target,R2,MSE
1,Linear Regression,psi_CAD_deg,0.9995654712621725,0.0573217858428057
1,Linear Regression,h_CAD_mm,0.9998589809615295,0.06376834371583788
1,Tangent,h_CAD_mm,0.9995277741719,0.2168228188591161
1,Linear (Angle),psi_CAD_deg,0.9993739515780865,0.08258651371960458
1,Linear (Height),h_CAD_mm,0.9998493291336398,0.06813286842849298
2,Linear Regression,psi_CAD_deg,0.9995568456450191,0.05845965253881134
2,Linear Regression,h_CAD_mm,0.9998717687647599,0.0579857413054413
2,Tangent,h_CAD_mm,0.9995184739489071,0.22130270478487735
2,Linear (Angle),psi_CAD_deg,0.9993454546210476,0.08634575062697038
2,Linear (Height),h_CAD_mm,0.999862529460224,0.06216372431918776
3,Linear Regression,psi_CAD_deg,0.9995972713656524,0.053126807322939694
3,Linear Regression,h_CAD_mm,0.999875299289252,0.056389249783823814
3,Tangent,h_CAD_mm,0.999435635579798,0.2593779197326783
3,Linear (Angle),psi_CAD_deg,0.999383349031788,0.08134682855805718
3,Linear (Height),h_CAD_mm,0.9998648542844635,0.061112446471950764
4,Linear Regression,psi_CAD_deg,0.9995693159163862,0.05681461007676481
4,Linear Regression,h_CAD_mm,0.9998673538943935,0.05998213111240269
4,Tangent,h_CAD_mm,0.9994203540630768,0.26655908358965885
4,Linear (Angle),psi_CAD_deg,0.9993799479196513,0.08179549352438859
4,Linear (Height),h_CAD_mm,0.9998591346712477,0.06369883668865836
5,Linear Regression,psi_CAD_deg,0.999562149820863,0.057759940861931265
5,Linear Regression,h_CAD_mm,0.9998600142337415,0.0633011014322431
5,Tangent,h_CAD_mm,0.999462273071697,0.24730388755347577
5,Linear (Angle),psi_CAD_deg,0.9993547417785344,0.08512061542600383
5,Linear (Height),h_CAD_mm,0.9998512969800025,0.06724301479877123
